customer_id,age,income,preferred_product,transactions_last_year,avg_spend,recency_days,loyalty_score
203,20,39599,Toothbrush,7,6.48,92,71
204,54,60085,Mouthwash,9,6.16,94,70
205,34,38575,Toothbrush,10,7.16,19,85
206,19,49301,Toothbrush,10,1.5,70,77
207,19,36228,Mouthwash,7,5.18,56,71
208,45,54095,Toothpaste,9,11.71,49,79
209,40,53226,Mouthwash,6,6.16,119,62
210,54,67183,Mouthwash,7,5.87,109,68
211,49,42893,Whitening Kit,9,7.34,103,67
212,50,53023,Toothbrush,7,7.58,83,66
213,18,46176,Toothpaste,5,1.87,115,63
214,36,60550,Toothbrush,9,7.85,57,73
215,19,36374,Mouthwash,5,8.87,95,61
216,61,53940,Toothpaste,8,8.97,108,67
217,43,42663,Toothpaste,5,5.15,11,76
218,49,44229,Toothpaste,12,11.35,63,75
219,23,46101,Toothpaste,6,11.07,81,66
220,49,48026,Whitening Kit,9,10.85,17,77
221,21,43605,Toothpaste,1,9.47,114,53
222,28,47576,Mouthwash,9,6.63,15,80
223,34,63937,Whitening Kit,8,7.51,70,73
224,55,56825,Mouthwash,10,11.06,62,79
225,41,55429,Mouthwash,10,1.8,32,84
226,22,39533,Toothbrush,5,5.67,40,74
227,51,34329,Toothpaste,12,8.65,11,85
228,23,56463,Toothpaste,3,6.93,13,77
229,39,55512,Mouthwash,6,6.5,81,65
230,28,62672,Toothpaste,6,11.57,28,83
231,33,37752,Whitening Kit,8,9.59,113,68
232,50,42245,Toothbrush,4,9.9,82,67
233,26,25326,Toothpaste,8,5.57,28,83
234,23,40290,Toothpaste,7,6.11,48,73
235,33,56958,Whitening Kit,6,8.5,55,73
236,46,39402,Toothbrush,5,8.58,16,81
237,20,52685,Whitening Kit,12,12.12,36,82
238,37,42713,Mouthwash,14,8.43,113,67
239,53,48888,Mouthwash,10,11.65,40,78
240,36,31227,Toothpaste,7,9.13,20,82
241,43,46022,Toothbrush,3,6.93,103,60
242,20,9106,Mouthwash,4,5.56,91,66
243,36,42757,Whitening Kit,14,9.51,104,71
244,37,25434,Mouthwash,6,6.58,97,65
245,49,59471,Mouthwash,10,7.22,2,83
246,24,54328,Whitening Kit,10,5.44,77,73
247,58,50600,Toothpaste,10,7.51,2,86
248,50,63252,Toothbrush,9,8.98,101,73
249,57,33613,Toothpaste,9,6.49,69,79
250,56,65968,Whitening Kit,5,5.72,70,68
251,35,56186,Mouthwash,8,7.67,50,81
252,57,42161,Toothbrush,6,8.67,96,68
253,18,58627,Toothpaste,10,7.48,48,78
254,28,31724,Whitening Kit,11,12.23,24,85
255,45,35105,Mouthwash,9,7.75,81,75
256,42,37696,Mouthwash,8,8.79,9,85
257,40,38652,Toothpaste,9,9.71,117,61
258,48,32321,Whitening Kit,5,8.49,40,74
259,47,59676,Mouthwash,12,5.08,40,81
260,59,41893,Mouthwash,5,5.43,2,81
261,52,49230,Toothbrush,10,4.74,73,70
262,24,38155,Mouthwash,9,4.2,6,84
263,33,23152,Toothpaste,14,8.18,19,87
264,43,48240,Whitening Kit,11,10.6,97,76
265,19,22052,Whitening Kit,10,9.29,19,84
266,18,44176,Toothbrush,14,9.26,33,87
267,29,28580,Whitening Kit,10,4.94,117,70
268,22,68847,Toothpaste,8,8.73,109,70
269,54,55936,Mouthwash,7,8.82,61,74
270,49,46269,Toothbrush,10,11.69,30,74
271,26,60164,Whitening Kit,6,8.34,103,67
272,58,34844,Toothbrush,8,11.85,117,63
273,52,51521,Toothbrush,7,7.81,62,73
274,36,47397,Whitening Kit,12,8.62,13,86
275,33,48168,Toothbrush,4,10.41,18,71
276,20,60268,Whitening Kit,11,8.13,2,95
277,37,53789,Toothpaste,10,3.71,3,90
278,41,48464,Whitening Kit,8,5.02,6,79
279,50,25141,Mouthwash,8,14.16,28,79
280,41,33479,Whitening Kit,13,7.75,77,79
281,28,43527,Mouthwash,11,9.24,84,75
282,25,46120,Toothbrush,9,4.84,32,85
283,53,31437,Whitening Kit,6,8.35,60,71
284,55,73940,Mouthwash,2,10.83,31,72
285,57,63196,Whitening Kit,11,2.83,61,78
286,37,52225,Whitening Kit,7,8.02,9,84
287,52,45864,Whitening Kit,15,8.0,67,81
288,42,42453,Toothpaste,6,8.31,54,76
289,52,33576,Mouthwash,8,12.79,95,70
290,42,45929,Toothpaste,5,6.84,79,66
291,46,48093,Toothpaste,10,6.32,68,76
292,35,30098,Mouthwash,5,7.06,113,61
293,63,49010,Whitening Kit,4,13.42,17,78
294,35,43136,Toothpaste,5,7.9,109,60
295,19,22106,Toothpaste,9,8.95,59,77
296,52,34675,Toothpaste,10,1.76,31,81
297,33,40036,Whitening Kit,10,7.78,93,68
298,58,67652,Toothpaste,4,7.07,75,67
299,53,51678,Toothbrush,11,7.73,61,78
300,50,28974,Mouthwash,9,6.7,96,70
301,21,50832,Toothbrush,6,4.27,40,76
302,50,26432,Whitening Kit,12,6.82,3,85
303,31,57992,Toothpaste,8,11.27,50,73
304,38,39346,Mouthwash,7,7.81,1,82
305,37,43876,Toothpaste,5,3.01,8,82
306,25,60909,Whitening Kit,10,4.56,62,72
307,24,29554,Mouthwash,9,8.2,64,69
308,20,28234,Toothbrush,8,4.85,41,83
309,34,37996,Mouthwash,9,8.08,17,83
310,50,57460,Toothpaste,7,10.63,72,70
311,29,26767,Mouthwash,2,8.68,43,71
312,39,11014,Whitening Kit,4,5.05,97,67
313,39,39586,Whitening Kit,7,7.93,90,70
314,63,51620,Mouthwash,4,9.36,2,76
315,47,59403,Whitening Kit,6,5.68,47,77
316,55,39442,Whitening Kit,9,4.8,60,77
317,55,40062,Whitening Kit,4,7.28,49,71
318,62,58846,Toothbrush,10,11.38,93,71
319,25,22563,Toothpaste,7,5.04,15,83
320,44,40337,Whitening Kit,11,6.41,94,69
321,44,47285,Mouthwash,4,4.52,50,69
322,51,50390,Whitening Kit,16,5.62,108,78
323,38,38882,Toothbrush,8,7.17,46,81
324,47,45413,Mouthwash,5,7.13,76,67
325,50,15140,Toothpaste,8,0.62,2,85
326,45,37101,Mouthwash,4,6.92,85,64
327,64,50442,Mouthwash,8,11.91,29,80
328,50,33212,Mouthwash,9,7.86,29,83
329,22,45707,Mouthwash,9,6.89,80,73
330,36,50362,Whitening Kit,10,6.08,115,63
331,21,40889,Toothpaste,6,5.19,95,68
332,52,47045,Whitening Kit,7,7.77,61,74
333,34,33447,Toothbrush,9,8.63,97,73
334,61,42520,Toothbrush,7,11.85,66,77
335,45,52322,Mouthwash,11,5.65,44,85
336,47,46883,Whitening Kit,2,10.74,4,83
337,46,37961,Whitening Kit,17,10.65,39,92
338,63,47690,Toothpaste,12,6.49,60,78
339,23,53575,Toothpaste,8,5.67,49,74
340,52,20400,Toothpaste,3,3.91,5,82
341,58,58908,Whitening Kit,9,7.58,66,78
342,54,40964,Toothpaste,9,6.78,45,79
343,41,50105,Toothpaste,6,10.18,60,65
344,46,59366,Toothpaste,6,8.38,8,83
345,63,28539,Mouthwash,10,2.55,50,79
346,48,36486,Toothbrush,3,7.34,36,69
347,52,41537,Toothbrush,4,8.27,70,64
348,50,35594,Whitening Kit,10,6.92,41,78
349,38,65819,Whitening Kit,6,9.73,10,78
350,49,34718,Mouthwash,12,6.09,36,80
351,40,38333,Toothbrush,9,10.09,68,76
352,50,47452,Toothpaste,9,6.11,103,66
353,20,30574,Toothpaste,10,6.67,14,86
354,35,40251,Whitening Kit,6,12.37,76,72
355,42,48809,Toothbrush,9,4.21,111,65
356,59,41005,Whitening Kit,7,7.73,17,82
357,48,43879,Whitening Kit,12,8.37,21,87
358,20,38648,Toothpaste,8,5.96,117,61
359,57,26826,Toothpaste,10,8.67,77,73
360,63,48859,Toothbrush,6,9.34,97,66
361,41,66059,Whitening Kit,11,8.2,54,79
362,49,45220,Mouthwash,7,7.99,13,86
363,64,47703,Toothbrush,6,8.81,48,72
364,39,53312,Whitening Kit,8,5.62,45,77
365,40,29768,Toothbrush,8,5.92,9,84
366,19,65430,Toothbrush,8,8.66,55,70
367,44,47427,Toothbrush,9,6.58,50,75
368,59,64582,Mouthwash,6,7.37,112,62
369,19,36203,Mouthwash,12,1.19,20,85
370,43,66816,Toothpaste,5,9.18,108,59
371,34,54301,Toothpaste,6,10.81,40,76
372,57,51636,Whitening Kit,9,9.03,1,84
373,50,47808,Toothbrush,11,9.41,77,78
374,26,42017,Whitening Kit,13,9.81,86,75
375,60,59406,Toothpaste,6,7.04,115,67
376,56,46684,Mouthwash,11,5.27,77,74
377,46,21395,Toothpaste,5,8.8,64,66
378,59,31593,Whitening Kit,7,10.17,35,79
379,43,42769,Toothpaste,6,4.79,65,71
380,52,48719,Whitening Kit,10,9.3,110,70
381,42,44320,Whitening Kit,5,8.22,53,71
382,41,59627,Whitening Kit,6,7.22,97,69
383,30,21586,Whitening Kit,8,6.84,61,77
384,24,46723,Toothpaste,6,8.18,5,80
385,53,23184,Whitening Kit,3,5.89,94,65
386,62,54116,Whitening Kit,6,15.07,69,66
387,37,43866,Toothbrush,7,4.18,107,60
388,18,50035,Whitening Kit,11,1.13,89,76
389,25,34633,Toothpaste,7,8.23,60,66
390,63,60353,Whitening Kit,9,7.72,90,70
391,33,57500,Mouthwash,4,8.83,19,77
392,31,52002,Mouthwash,7,0.36,76,68
393,29,43445,Whitening Kit,9,2.92,57,72
394,40,51958,Mouthwash,9,6.39,8,81
395,32,36517,Mouthwash,6,9.7,74,63
396,45,55266,Toothpaste,6,2.96,18,78
397,51,64793,Toothbrush,7,8.62,105,64
398,19,57847,Mouthwash,7,6.89,11,81
399,49,36244,Mouthwash,6,7.9,62,71
400,40,49337,Toothbrush,13,7.43,30,90
401,39,29482,Toothbrush,6,7.46,5,88
402,42,51868,Mouthwash,7,7.44,88,71
403,39,50407,Whitening Kit,6,10.26,109,61
404,39,22562,Mouthwash,10,7.59,77,74
405,59,31058,Whitening Kit,2,10.04,56,71
406,23,41602,Whitening Kit,5,6.4,36,71
407,32,41389,Whitening Kit,8,10.29,113,67
408,60,30486,Toothbrush,5,6.91,27,83
409,54,49667,Mouthwash,5,6.94,32,79
410,50,48017,Mouthwash,8,3.06,14,84
411,25,42668,Toothpaste,8,5.24,41,80
412,61,35930,Toothbrush,6,5.75,118,62
413,61,57584,Toothpaste,3,2.98,66,66
414,22,64864,Toothpaste,7,5.34,4,82
415,56,39197,Whitening Kit,8,9.22,11,84
416,21,37653,Toothbrush,7,9.49,106,62
417,23,50894,Toothpaste,10,3.29,101,66
418,62,40703,Mouthwash,13,11.66,48,81
419,49,43327,Toothpaste,9,9.6,102,65
420,47,53875,Toothbrush,5,12.7,37,79
421,64,22087,Mouthwash,5,10.27,13,85
422,52,60819,Mouthwash,6,12.23,73,73
423,57,45872,Mouthwash,14,8.55,42,84
424,33,40062,Whitening Kit,10,5.56,27,80
425,30,43929,Mouthwash,9,8.15,66,78
426,59,44549,Whitening Kit,9,1.9,47,77
427,47,24225,Whitening Kit,3,7.1,91,60
428,36,62939,Toothpaste,4,7.39,76,68
429,34,45495,Toothpaste,8,9.91,12,85
430,36,50316,Mouthwash,11,8.02,67,74
431,45,56418,Toothbrush,10,6.4,26,85
432,43,32746,Mouthwash,6,4.01,79,71
433,54,50681,Toothpaste,10,5.62,27,84
434,43,41788,Mouthwash,13,6.94,115,71
435,40,55161,Toothpaste,7,5.74,109,65
436,26,19473,Mouthwash,13,0.94,35,93
437,29,43810,Toothbrush,5,7.47,13,79
438,18,37766,Mouthwash,10,6.33,118,62
439,18,50187,Toothbrush,11,6.29,56,79
440,64,50640,Toothbrush,12,7.91,69,81
441,51,36508,Mouthwash,11,6.36,43,79
442,49,36453,Toothbrush,9,10.19,118,66
443,42,43672,Toothbrush,6,5.66,81,70
444,57,34240,Toothpaste,5,5.44,83,64
445,62,55103,Toothpaste,10,5.6,84,74
446,18,40569,Toothbrush,7,7.94,59,73
447,33,10116,Whitening Kit,5,7.9,87,63
448,56,40502,Mouthwash,9,6.1,12,84
449,22,32537,Toothbrush,10,7.47,96,71
450,39,25424,Mouthwash,9,8.45,29,80
451,46,30150,Toothpaste,5,9.0,5,88
452,20,46312,Mouthwash,10,7.21,49,76
453,29,60943,Toothbrush,6,5.53,64,73
454,43,48758,Toothbrush,12,5.53,115,69
455,33,37721,Toothbrush,4,8.16,43,72
456,54,50470,Toothbrush,9,9.31,66,73
457,39,39490,Whitening Kit,7,7.88,6,82
458,46,36664,Whitening Kit,3,6.53,85,66
459,31,31147,Whitening Kit,10,6.08,99,71
460,45,23978,Toothbrush,5,9.52,15,81
461,22,40320,Whitening Kit,6,4.43,18,81
462,64,46896,Mouthwash,9,6.31,49,82
463,47,43840,Toothbrush,4,11.1,47,80
464,63,40008,Toothpaste,8,10.42,2,83
465,22,33651,Toothbrush,12,8.0,5,85
466,29,52298,Mouthwash,12,6.28,37,87
467,33,29194,Whitening Kit,12,6.87,105,69
468,43,54312,Toothbrush,9,7.72,6,89
469,43,32973,Whitening Kit,4,12.77,115,60
470,38,35970,Toothbrush,9,10.06,42,77
471,56,27398,Mouthwash,5,9.73,51,67
472,53,38983,Toothbrush,6,7.11,83,67
473,50,56703,Whitening Kit,7,6.26,16,85
474,47,51187,Whitening Kit,6,7.01,76,69
475,54,56741,Mouthwash,5,9.99,88,65
476,40,51265,Toothbrush,9,11.57,73,66
477,27,31755,Toothpaste,10,5.37,67,69
478,22,41030,Toothbrush,11,1.76,81,72
479,53,35637,Mouthwash,8,6.87,30,81
480,51,60966,Toothpaste,8,10.15,27,80
481,48,30638,Mouthwash,10,6.07,88,75
482,27,55724,Toothbrush,13,8.63,42,86
483,36,55715,Toothpaste,11,4.69,64,74
484,49,66955,Mouthwash,7,6.76,50,72
485,18,40083,Whitening Kit,9,5.53,39,78
486,22,53547,Toothpaste,8,7.12,7,85
487,62,72379,Toothpaste,6,8.01,73,75
488,21,37588,Mouthwash,11,9.23,16,86
489,33,26579,Whitening Kit,7,6.45,56,77
490,41,22439,Toothpaste,9,4.66,11,87
491,33,53552,Mouthwash,6,3.7,9,79
492,19,22402,Toothpaste,5,10.21,1,74
493,45,40532,Toothpaste,11,5.46,44,81
494,49,50247,Toothpaste,6,8.79,35,76
495,44,47222,Whitening Kit,10,3.52,84,76
496,37,50105,Toothbrush,8,11.42,51,78
497,41,47667,Toothbrush,13,14.46,8,90
498,29,60346,Whitening Kit,9,8.32,71,81
499,52,33572,Whitening Kit,5,6.78,37,78
500,50,36876,Mouthwash,14,11.1,101,72
501,50,35728,Toothpaste,11,6.26,84,69
502,60,54962,Whitening Kit,7,7.63,5,82
503,54,55804,Mouthwash,14,0.58,76,81
504,29,50414,Toothbrush,11,7.31,21,89
505,20,59201,Toothbrush,3,10.39,84,65
506,18,30863,Toothbrush,16,6.35,5,94
507,50,65006,Toothbrush,6,6.39,23,81
508,57,63278,Mouthwash,4,6.41,57,68
509,27,53827,Toothpaste,7,12.41,71,75
510,60,66381,Mouthwash,13,8.07,65,82
511,61,25120,Toothpaste,7,7.6,25,81
512,46,38706,Toothbrush,9,6.49,19,76
513,30,36176,Whitening Kit,8,10.07,2,82
514,29,53657,Whitening Kit,11,5.49,12,85
515,48,32398,Whitening Kit,5,10.64,42,72
516,63,54089,Toothpaste,7,7.21,25,79
517,19,61446,Toothbrush,6,10.43,96,65
518,52,53342,Mouthwash,9,6.58,48,78
519,40,48405,Whitening Kit,8,9.55,107,62
520,34,33145,Toothpaste,5,8.85,82,66
521,43,34837,Whitening Kit,7,7.35,31,80
522,25,59995,Mouthwash,6,10.92,58,69
523,46,54352,Toothbrush,11,10.74,61,78
524,43,44531,Mouthwash,12,5.89,44,82
525,27,39985,Toothbrush,10,5.71,9,86
526,43,20690,Toothbrush,7,6.9,21,75
527,51,32149,Toothbrush,12,6.76,54,81
528,58,67937,Whitening Kit,10,10.1,103,68
529,24,29634,Mouthwash,7,8.4,71,79
530,21,47273,Whitening Kit,11,5.25,13,87
531,62,57089,Mouthwash,10,5.37,84,72
532,28,29940,Toothpaste,4,7.78,13,74
533,46,47216,Toothpaste,6,9.67,52,71
534,53,56254,Mouthwash,12,11.41,28,85
535,42,45149,Mouthwash,8,7.93,101,67
536,38,79420,Mouthwash,14,7.19,89,83
537,53,24976,Mouthwash,6,6.94,46,76
538,27,57704,Toothbrush,13,5.68,48,82
539,54,42926,Whitening Kit,7,7.31,109,70
540,26,54263,Toothbrush,15,6.28,90,76
541,41,50295,Whitening Kit,12,6.48,108,67
542,52,36202,Whitening Kit,15,8.99,97,72
543,52,47747,Whitening Kit,2,3.9,104,61
544,53,22705,Toothbrush,10,2.71,40,76
545,35,52238,Mouthwash,3,5.12,119,58
546,56,48577,Toothbrush,6,9.48,54,76
547,49,52663,Toothbrush,7,8.38,27,80
548,41,57697,Whitening Kit,9,9.85,79,72
549,40,49411,Toothpaste,5,3.37,3,88
550,49,46777,Toothpaste,10,8.78,93,68
551,54,34427,Toothbrush,10,3.91,95,76
552,29,36453,Whitening Kit,7,4.8,59,74
553,30,59240,Toothbrush,10,4.26,104,66
554,40,62236,Toothbrush,10,4.68,119,66
555,42,42142,Mouthwash,7,14.11,18,79
556,52,45552,Whitening Kit,11,8.83,24,81
557,58,34144,Toothpaste,10,2.88,61,74
558,47,59073,Toothpaste,4,3.57,103,61
559,34,52985,Toothpaste,12,7.7,118,60
560,37,68294,Toothbrush,7,7.92,57,78
561,42,34460,Whitening Kit,6,5.91,44,74
562,39,40463,Mouthwash,5,11.72,47,71
563,30,47777,Toothpaste,10,5.27,72,80
564,36,52757,Whitening Kit,9,9.82,93,71
565,53,42411,Toothpaste,8,9.53,112,68
566,29,34524,Mouthwash,11,13.51,37,82
567,58,55576,Whitening Kit,13,13.61,37,86
568,36,53653,Toothbrush,9,9.24,73,67
569,29,34004,Toothbrush,5,7.59,45,70
570,26,61265,Toothpaste,10,8.39,30,81
571,24,59042,Toothpaste,7,9.04,15,81
572,45,46611,Whitening Kit,9,2.85,104,74
573,31,45955,Mouthwash,5,3.75,76,73
