customer_id,age,income,preferred_product,transactions_last_year,avg_spend,recency_days,loyalty_score,R,F,M,cluster
90,58,34818,Whitening Kit,12,4.26,75,81,75,12,51.12,3
91,46,51877,Toothpaste,13,7.48,93,76,93,13,97.24000000000001,1
92,32,23569,Toothpaste,5,11.21,44,71,44,5,56.050000000000004,2
93,62,40684,Toothbrush,6,7.68,50,76,50,6,46.08,2
94,18,48613,Toothbrush,8,2.77,84,75,84,8,22.16,0
95,42,47206,Whitening Kit,8,7.82,9,77,9,8,62.56,2
96,24,77316,Toothpaste,6,6.86,88,61,88,6,41.160000000000004,0
97,26,49197,Mouthwash,3,9.83,47,67,47,3,29.490000000000002,0
98,41,32951,Toothpaste,10,7.22,113,67,113,10,72.2,3
99,18,43854,Mouthwash,6,10.29,41,74,41,6,61.739999999999995,2
100,61,23685,Whitening Kit,7,8.59,13,84,13,7,60.129999999999995,2
101,25,44032,Whitening Kit,4,9.69,58,71,58,4,38.76,0
102,41,35003,Mouthwash,7,7.27,66,75,66,7,50.89,0
103,28,55984,Mouthwash,10,10.71,81,71,81,10,107.10000000000001,1
104,34,38405,Toothpaste,4,6.22,114,50,114,4,24.88,0
105,25,43598,Whitening Kit,10,2.92,58,78,58,10,29.2,2
106,52,37373,Toothpaste,7,4.76,91,64,91,7,33.32,0
107,52,65866,Mouthwash,11,7.8,102,67,102,11,85.8,3
108,50,41145,Toothbrush,9,8.18,66,73,66,9,73.62,3
109,22,66990,Toothbrush,7,7.89,33,76,33,7,55.23,2
110,59,54769,Toothbrush,9,10.55,69,73,69,9,94.95,3
111,56,50784,Mouthwash,6,7.97,78,66,78,6,47.82,0
112,58,49424,Toothpaste,8,8.32,27,85,27,8,66.56,2
113,45,49725,Whitening Kit,6,9.95,50,73,50,6,59.699999999999996,2
114,24,21867,Mouthwash,8,3.31,59,74,59,8,26.48,0
115,26,41653,Toothbrush,10,9.31,100,70,100,10,93.10000000000001,3
116,25,55141,Toothpaste,9,10.79,91,72,91,9,97.10999999999999,3
117,29,44413,Whitening Kit,7,9.29,78,66,78,7,65.03,3
118,51,28137,Whitening Kit,13,8.29,79,76,79,13,107.76999999999998,1
119,50,44371,Mouthwash,9,9.51,27,78,27,9,85.59,2
120,40,65449,Mouthwash,10,2.13,59,76,59,10,21.299999999999997,2
121,41,59962,Whitening Kit,7,7.18,56,70,56,7,50.26,2
122,54,44255,Whitening Kit,9,4.25,118,63,118,9,38.25,3
123,52,56417,Toothbrush,7,8.46,72,71,72,7,59.220000000000006,3
124,61,40601,Whitening Kit,9,4.99,85,67,85,9,44.910000000000004,3
125,57,24553,Mouthwash,10,9.62,34,79,34,10,96.19999999999999,1
126,39,33906,Toothpaste,6,6.46,49,74,49,6,38.76,2
127,44,63754,Toothbrush,6,4.28,92,71,92,6,25.68,0
128,52,41712,Toothbrush,1,5.14,88,59,88,1,5.14,0
129,18,42079,Whitening Kit,10,4.22,17,78,17,10,42.199999999999996,2
130,52,41401,Toothpaste,5,7.41,116,58,116,5,37.05,0
131,54,67849,Toothbrush,13,9.04,70,78,70,13,117.51999999999998,1
132,64,64511,Mouthwash,13,5.89,38,86,38,13,76.57,1
133,31,71625,Whitening Kit,11,3.85,83,79,83,11,42.35,3
134,20,43091,Mouthwash,9,7.47,1,83,1,9,67.23,2
135,18,48547,Whitening Kit,7,7.41,38,76,38,7,51.870000000000005,2
136,22,26800,Toothbrush,6,6.25,26,81,26,6,37.5,2
137,43,62723,Whitening Kit,9,5.54,69,75,69,9,49.86,3
138,31,30986,Toothpaste,8,10.7,68,74,68,8,85.6,3
139,56,47601,Mouthwash,6,6.02,25,77,25,6,36.12,2
140,44,31832,Toothpaste,10,3.9,109,68,109,10,39.0,3
141,26,37933,Mouthwash,9,7.28,116,62,116,9,65.52,3
142,32,34952,Mouthwash,7,8.82,113,58,113,7,61.74,3
143,32,37705,Whitening Kit,10,8.65,58,76,58,10,86.5,1
144,43,38530,Toothbrush,8,3.5,45,83,45,8,28.0,2
145,59,38420,Toothbrush,6,10.54,22,76,22,6,63.239999999999995,2
146,30,55000,Toothpaste,7,8.03,48,73,48,7,56.209999999999994,2
147,49,31741,Whitening Kit,10,8.93,13,83,13,10,89.3,1
148,56,47646,Toothbrush,5,14.13,87,61,87,5,70.65,0
149,49,59615,Mouthwash,9,9.4,97,65,97,9,84.60000000000001,3
150,21,38841,Mouthwash,5,8.93,25,76,25,5,44.65,2
151,47,36384,Whitening Kit,8,6.94,10,89,10,8,55.52,2
152,54,42233,Toothpaste,4,7.49,18,75,18,4,29.96,2
153,40,59156,Whitening Kit,7,4.49,55,71,55,7,31.43,2
154,56,47329,Toothpaste,5,7.71,27,71,27,5,38.55,2
155,62,38625,Whitening Kit,16,11.57,56,81,56,16,185.12,1
156,32,50806,Mouthwash,2,8.57,56,64,56,2,17.14,0
157,60,31772,Whitening Kit,8,13.08,49,78,49,8,104.64,1
158,46,53176,Toothbrush,9,8.82,26,81,26,9,79.38,2
159,53,49903,Toothbrush,11,8.2,113,74,113,11,90.19999999999999,3
160,30,41306,Whitening Kit,8,7.15,106,69,106,8,57.2,3
161,49,34936,Toothpaste,6,12.43,116,61,116,6,74.58,3
162,24,34359,Toothpaste,11,6.34,2,89,2,11,69.74,2
163,39,51417,Mouthwash,7,5.68,74,71,74,7,39.76,0
164,45,59747,Mouthwash,10,5.3,60,72,60,10,53.0,3
165,19,37352,Toothpaste,10,13.15,84,80,84,10,131.5,1
166,59,50500,Whitening Kit,8,7.87,38,75,38,8,62.96,2
167,62,19955,Mouthwash,7,7.71,3,78,3,7,53.97,2
168,23,37984,Toothpaste,3,8.8,74,65,74,3,26.400000000000002,0
169,45,44627,Toothpaste,13,6.87,92,74,92,13,89.31,1
170,45,34083,Whitening Kit,7,5.59,83,66,83,7,39.129999999999995,0
171,61,33761,Toothbrush,7,5.47,81,68,81,7,38.29,0
172,61,36986,Toothpaste,12,5.39,108,72,108,12,64.67999999999999,3
173,37,48506,Mouthwash,5,2.49,53,68,53,5,12.450000000000001,0
174,47,42752,Whitening Kit,7,7.65,44,80,44,7,53.550000000000004,2
175,28,18141,Whitening Kit,7,3.6,23,81,23,7,25.2,2
176,45,19551,Whitening Kit,6,8.87,28,79,28,6,53.22,2
177,42,37717,Toothbrush,9,9.59,91,70,91,9,86.31,3
178,56,50492,Toothbrush,6,5.99,32,78,32,6,35.94,2
179,50,12029,Mouthwash,7,8.34,102,71,102,7,58.379999999999995,3
180,18,39003,Mouthwash,11,9.32,76,72,76,11,102.52000000000001,1
181,44,38685,Whitening Kit,10,11.26,20,81,20,10,112.6,1
182,30,61660,Mouthwash,4,6.53,6,80,6,4,26.12,2
183,58,40379,Toothpaste,11,3.97,3,86,3,11,43.67,2
184,20,49595,Toothbrush,9,5.24,3,81,3,9,47.160000000000004,2
185,56,46695,Whitening Kit,11,3.35,23,85,23,11,36.85,2
186,23,19433,Whitening Kit,4,8.69,73,65,73,4,34.76,0
187,25,54218,Toothpaste,7,-0.55,33,79,33,7,-3.8500000000000005,2
188,44,47584,Toothpaste,7,4.99,36,75,36,7,34.93,2
189,26,51099,Toothpaste,12,7.53,64,72,64,12,90.36,1
190,54,92114,Toothpaste,7,4.8,12,79,12,7,33.6,2
191,50,19990,Whitening Kit,14,5.35,62,82,62,14,74.89999999999999,1
192,59,65696,Toothbrush,7,9.57,26,79,26,7,66.99000000000001,2
193,61,41550,Toothbrush,3,4.7,37,74,37,3,14.100000000000001,0
194,41,48447,Toothpaste,9,6.36,114,66,114,9,57.24,3
195,32,44453,Mouthwash,13,9.82,48,84,48,13,127.66,1
196,49,39909,Whitening Kit,6,6.57,74,70,74,6,39.42,0
197,49,38162,Toothbrush,5,13.51,44,79,44,5,67.55,2
198,41,48954,Toothpaste,6,10.24,11,82,11,6,61.44,2
199,58,26793,Mouthwash,5,10.37,83,67,83,5,51.849999999999994,0
200,29,54006,Mouthwash,5,4.03,69,64,69,5,20.150000000000002,0
201,56,40005,Toothpaste,6,7.25,24,76,24,6,43.5,2
202,19,31439,Whitening Kit,15,6.79,99,76,99,15,101.85,1
203,20,39599,Toothbrush,7,6.48,92,71,92,7,45.36,0
204,54,60085,Mouthwash,9,6.16,94,70,94,9,55.44,3
205,34,38575,Toothbrush,10,7.16,19,85,19,10,71.6,2
206,19,49301,Toothbrush,10,1.5,70,77,70,10,15.0,0
207,19,36228,Mouthwash,7,5.18,56,71,56,7,36.26,2
208,45,54095,Toothpaste,9,11.71,49,79,49,9,105.39000000000001,1
209,40,53226,Mouthwash,6,6.16,119,62,119,6,36.96,0
210,54,67183,Mouthwash,7,5.87,109,68,109,7,41.09,0
211,49,42893,Whitening Kit,9,7.34,103,67,103,9,66.06,3
212,50,53023,Toothbrush,7,7.58,83,66,83,7,53.06,3
213,18,46176,Toothpaste,5,1.87,115,63,115,5,9.350000000000001,0
214,36,60550,Toothbrush,9,7.85,57,73,57,9,70.64999999999999,3
215,19,36374,Mouthwash,5,8.87,95,61,95,5,44.349999999999994,0
216,61,53940,Toothpaste,8,8.97,108,67,108,8,71.76,3
217,43,42663,Toothpaste,5,5.15,11,76,11,5,25.75,2
218,49,44229,Toothpaste,12,11.35,63,75,63,12,136.2,1
219,23,46101,Toothpaste,6,11.07,81,66,81,6,66.42,3
220,49,48026,Whitening Kit,9,10.85,17,77,17,9,97.64999999999999,1
221,21,43605,Toothpaste,1,9.47,114,53,114,1,9.47,0
222,28,47576,Mouthwash,9,6.63,15,80,15,9,59.67,2
223,34,63937,Whitening Kit,8,7.51,70,73,70,8,60.08,3
224,55,56825,Mouthwash,10,11.06,62,79,62,10,110.60000000000001,1
225,41,55429,Mouthwash,10,1.8,32,84,32,10,18.0,2
226,22,39533,Toothbrush,5,5.67,40,74,40,5,28.35,2
227,51,34329,Toothpaste,12,8.65,11,85,11,12,103.80000000000001,1
228,23,56463,Toothpaste,3,6.93,13,77,13,3,20.79,2
229,39,55512,Mouthwash,6,6.5,81,65,81,6,39.0,0
230,28,62672,Toothpaste,6,11.57,28,83,28,6,69.42,2
231,33,37752,Whitening Kit,8,9.59,113,68,113,8,76.72,3
232,50,42245,Toothbrush,4,9.9,82,67,82,4,39.6,0
233,26,25326,Toothpaste,8,5.57,28,83,28,8,44.56,2
234,23,40290,Toothpaste,7,6.11,48,73,48,7,42.77,2
235,33,56958,Whitening Kit,6,8.5,55,73,55,6,51.0,2
236,46,39402,Toothbrush,5,8.58,16,81,16,5,42.9,2
237,20,52685,Whitening Kit,12,12.12,36,82,36,12,145.44,1
238,37,42713,Mouthwash,14,8.43,113,67,113,14,118.02,1
239,53,48888,Mouthwash,10,11.65,40,78,40,10,116.5,1
240,36,31227,Toothpaste,7,9.13,20,82,20,7,63.910000000000004,2
241,43,46022,Toothbrush,3,6.93,103,60,103,3,20.79,0
242,20,9106,Mouthwash,4,5.56,91,66,91,4,22.24,0
243,36,42757,Whitening Kit,14,9.51,104,71,104,14,133.14,1
244,37,25434,Mouthwash,6,6.58,97,65,97,6,39.480000000000004,0
245,49,59471,Mouthwash,10,7.22,2,83,2,10,72.2,2
246,24,54328,Whitening Kit,10,5.44,77,73,77,10,54.400000000000006,3
247,58,50600,Toothpaste,10,7.51,2,86,2,10,75.1,2
248,50,63252,Toothbrush,9,8.98,101,73,101,9,80.82000000000001,3
249,57,33613,Toothpaste,9,6.49,69,79,69,9,58.410000000000004,3
250,56,65968,Whitening Kit,5,5.72,70,68,70,5,28.599999999999998,0
251,35,56186,Mouthwash,8,7.67,50,81,50,8,61.36,2
252,57,42161,Toothbrush,6,8.67,96,68,96,6,52.019999999999996,0
253,18,58627,Toothpaste,10,7.48,48,78,48,10,74.80000000000001,1
254,28,31724,Whitening Kit,11,12.23,24,85,24,11,134.53,1
255,45,35105,Mouthwash,9,7.75,81,75,81,9,69.75,3
256,42,37696,Mouthwash,8,8.79,9,85,9,8,70.32,2
257,40,38652,Toothpaste,9,9.71,117,61,117,9,87.39000000000001,3
258,48,32321,Whitening Kit,5,8.49,40,74,40,5,42.45,2
259,47,59676,Mouthwash,12,5.08,40,81,40,12,60.96,1
260,59,41893,Mouthwash,5,5.43,2,81,2,5,27.15,2
261,52,49230,Toothbrush,10,4.74,73,70,73,10,47.400000000000006,3
262,24,38155,Mouthwash,9,4.2,6,84,6,9,37.800000000000004,2
263,33,23152,Toothpaste,14,8.18,19,87,19,14,114.52,1
264,43,48240,Whitening Kit,11,10.6,97,76,97,11,116.6,1
265,19,22052,Whitening Kit,10,9.29,19,84,19,10,92.89999999999999,1
266,18,44176,Toothbrush,14,9.26,33,87,33,14,129.64,1
267,29,28580,Whitening Kit,10,4.94,117,70,117,10,49.400000000000006,3
268,22,68847,Toothpaste,8,8.73,109,70,109,8,69.84,3
269,54,55936,Mouthwash,7,8.82,61,74,61,7,61.74,2
270,49,46269,Toothbrush,10,11.69,30,74,30,10,116.89999999999999,1
271,26,60164,Whitening Kit,6,8.34,103,67,103,6,50.04,0
272,58,34844,Toothbrush,8,11.85,117,63,117,8,94.8,3
273,52,51521,Toothbrush,7,7.81,62,73,62,7,54.669999999999995,2
274,36,47397,Whitening Kit,12,8.62,13,86,13,12,103.44,1
275,33,48168,Toothbrush,4,10.41,18,71,18,4,41.64,2
276,20,60268,Whitening Kit,11,8.13,2,95,2,11,89.43,1
277,37,53789,Toothpaste,10,3.71,3,90,3,10,37.1,2
278,41,48464,Whitening Kit,8,5.02,6,79,6,8,40.16,2
279,50,25141,Mouthwash,8,14.16,28,79,28,8,113.28,1
280,41,33479,Whitening Kit,13,7.75,77,79,77,13,100.75,1
281,28,43527,Mouthwash,11,9.24,84,75,84,11,101.64,1
282,25,46120,Toothbrush,9,4.84,32,85,32,9,43.56,2
283,53,31437,Whitening Kit,6,8.35,60,71,60,6,50.099999999999994,0
284,55,73940,Mouthwash,2,10.83,31,72,31,2,21.66,0
285,57,63196,Whitening Kit,11,2.83,61,78,61,11,31.130000000000003,3
286,37,52225,Whitening Kit,7,8.02,9,84,9,7,56.14,2
287,52,45864,Whitening Kit,15,8.0,67,81,67,15,120.0,1
288,42,42453,Toothpaste,6,8.31,54,76,54,6,49.86,2
289,52,33576,Mouthwash,8,12.79,95,70,95,8,102.32,3
290,42,45929,Toothpaste,5,6.84,79,66,79,5,34.2,0
291,46,48093,Toothpaste,10,6.32,68,76,68,10,63.2,3
292,35,30098,Mouthwash,5,7.06,113,61,113,5,35.3,0
293,63,49010,Whitening Kit,4,13.42,17,78,17,4,53.68,2
294,35,43136,Toothpaste,5,7.9,109,60,109,5,39.5,0
295,19,22106,Toothpaste,9,8.95,59,77,59,9,80.55,3
296,52,34675,Toothpaste,10,1.76,31,81,31,10,17.6,2
297,33,40036,Whitening Kit,10,7.78,93,68,93,10,77.8,3
298,58,67652,Toothpaste,4,7.07,75,67,75,4,28.28,0
299,53,51678,Toothbrush,11,7.73,61,78,61,11,85.03,1
300,50,28974,Mouthwash,9,6.7,96,70,96,9,60.300000000000004,3
301,21,50832,Toothbrush,6,4.27,40,76,40,6,25.619999999999997,2
302,50,26432,Whitening Kit,12,6.82,3,85,3,12,81.84,1
303,31,57992,Toothpaste,8,11.27,50,73,50,8,90.16,3
304,38,39346,Mouthwash,7,7.81,1,82,1,7,54.669999999999995,2
305,37,43876,Toothpaste,5,3.01,8,82,8,5,15.049999999999999,2
306,25,60909,Whitening Kit,10,4.56,62,72,62,10,45.599999999999994,3
307,24,29554,Mouthwash,9,8.2,64,69,64,9,73.8,3
308,20,28234,Toothbrush,8,4.85,41,83,41,8,38.8,2
309,34,37996,Mouthwash,9,8.08,17,83,17,9,72.72,2
310,50,57460,Toothpaste,7,10.63,72,70,72,7,74.41000000000001,3
311,29,26767,Mouthwash,2,8.68,43,71,43,2,17.36,0
312,39,11014,Whitening Kit,4,5.05,97,67,97,4,20.2,0
313,39,39586,Whitening Kit,7,7.93,90,70,90,7,55.51,3
314,63,51620,Mouthwash,4,9.36,2,76,2,4,37.44,2
315,47,59403,Whitening Kit,6,5.68,47,77,47,6,34.08,2
316,55,39442,Whitening Kit,9,4.8,60,77,60,9,43.199999999999996,3
317,55,40062,Whitening Kit,4,7.28,49,71,49,4,29.12,0
318,62,58846,Toothbrush,10,11.38,93,71,93,10,113.80000000000001,1
319,25,22563,Toothpaste,7,5.04,15,83,15,7,35.28,2
320,44,40337,Whitening Kit,11,6.41,94,69,94,11,70.51,3
321,44,47285,Mouthwash,4,4.52,50,69,50,4,18.08,0
322,51,50390,Whitening Kit,16,5.62,108,78,108,16,89.92,1
323,38,38882,Toothbrush,8,7.17,46,81,46,8,57.36,2
324,47,45413,Mouthwash,5,7.13,76,67,76,5,35.65,0
325,50,15140,Toothpaste,8,0.62,2,85,2,8,4.96,2
326,45,37101,Mouthwash,4,6.92,85,64,85,4,27.68,0
327,64,50442,Mouthwash,8,11.91,29,80,29,8,95.28,1
328,50,33212,Mouthwash,9,7.86,29,83,29,9,70.74000000000001,2
329,22,45707,Mouthwash,9,6.89,80,73,80,9,62.01,3
330,36,50362,Whitening Kit,10,6.08,115,63,115,10,60.8,3
331,21,40889,Toothpaste,6,5.19,95,68,95,6,31.14,0
332,52,47045,Whitening Kit,7,7.77,61,74,61,7,54.39,2
333,34,33447,Toothbrush,9,8.63,97,73,97,9,77.67,3
334,61,42520,Toothbrush,7,11.85,66,77,66,7,82.95,3
335,45,52322,Mouthwash,11,5.65,44,85,44,11,62.150000000000006,3
336,47,46883,Whitening Kit,2,10.74,4,83,4,2,21.48,2
337,46,37961,Whitening Kit,17,10.65,39,92,39,17,181.05,1
338,63,47690,Toothpaste,12,6.49,60,78,60,12,77.88,1
339,23,53575,Toothpaste,8,5.67,49,74,49,8,45.36,2
340,52,20400,Toothpaste,3,3.91,5,82,5,3,11.73,2
341,58,58908,Whitening Kit,9,7.58,66,78,66,9,68.22,3
342,54,40964,Toothpaste,9,6.78,45,79,45,9,61.02,2
343,41,50105,Toothpaste,6,10.18,60,65,60,6,61.08,2
344,46,59366,Toothpaste,6,8.38,8,83,8,6,50.28,2
345,63,28539,Mouthwash,10,2.55,50,79,50,10,25.5,2
346,48,36486,Toothbrush,3,7.34,36,69,36,3,22.02,0
347,52,41537,Toothbrush,4,8.27,70,64,70,4,33.08,0
348,50,35594,Whitening Kit,10,6.92,41,78,41,10,69.2,2
349,38,65819,Whitening Kit,6,9.73,10,78,10,6,58.38,2
350,49,34718,Mouthwash,12,6.09,36,80,36,12,73.08,1
351,40,38333,Toothbrush,9,10.09,68,76,68,9,90.81,3
352,50,47452,Toothpaste,9,6.11,103,66,103,9,54.99,3
353,20,30574,Toothpaste,10,6.67,14,86,14,10,66.7,2
354,35,40251,Whitening Kit,6,12.37,76,72,76,6,74.22,3
355,42,48809,Toothbrush,9,4.21,111,65,111,9,37.89,3
356,59,41005,Whitening Kit,7,7.73,17,82,17,7,54.11,2
357,48,43879,Whitening Kit,12,8.37,21,87,21,12,100.44,1
358,20,38648,Toothpaste,8,5.96,117,61,117,8,47.68,3
359,57,26826,Toothpaste,10,8.67,77,73,77,10,86.7,3
360,63,48859,Toothbrush,6,9.34,97,66,97,6,56.04,0
361,41,66059,Whitening Kit,11,8.2,54,79,54,11,90.19999999999999,1
362,49,45220,Mouthwash,7,7.99,13,86,13,7,55.93,2
363,64,47703,Toothbrush,6,8.81,48,72,48,6,52.86,2
364,39,53312,Whitening Kit,8,5.62,45,77,45,8,44.96,2
365,40,29768,Toothbrush,8,5.92,9,84,9,8,47.36,2
366,19,65430,Toothbrush,8,8.66,55,70,55,8,69.28,3
367,44,47427,Toothbrush,9,6.58,50,75,50,9,59.22,2
368,59,64582,Mouthwash,6,7.37,112,62,112,6,44.22,0
369,19,36203,Mouthwash,12,1.19,20,85,20,12,14.28,2
370,43,66816,Toothpaste,5,9.18,108,59,108,5,45.9,0
371,34,54301,Toothpaste,6,10.81,40,76,40,6,64.86,2
372,57,51636,Whitening Kit,9,9.03,1,84,1,9,81.27,2
373,50,47808,Toothbrush,11,9.41,77,78,77,11,103.51,1
374,26,42017,Whitening Kit,13,9.81,86,75,86,13,127.53,1
375,60,59406,Toothpaste,6,7.04,115,67,115,6,42.24,0
376,56,46684,Mouthwash,11,5.27,77,74,77,11,57.97,3
377,46,21395,Toothpaste,5,8.8,64,66,64,5,44.0,0
378,59,31593,Whitening Kit,7,10.17,35,79,35,7,71.19,2
379,43,42769,Toothpaste,6,4.79,65,71,65,6,28.740000000000002,0
380,52,48719,Whitening Kit,10,9.3,110,70,110,10,93.0,3
381,42,44320,Whitening Kit,5,8.22,53,71,53,5,41.1,0
382,41,59627,Whitening Kit,6,7.22,97,69,97,6,43.32,0
383,30,21586,Whitening Kit,8,6.84,61,77,61,8,54.72,3
384,24,46723,Toothpaste,6,8.18,5,80,5,6,49.08,2
385,53,23184,Whitening Kit,3,5.89,94,65,94,3,17.669999999999998,0
386,62,54116,Whitening Kit,6,15.07,69,66,69,6,90.42,3
387,37,43866,Toothbrush,7,4.18,107,60,107,7,29.259999999999998,0
388,18,50035,Whitening Kit,11,1.13,89,76,89,11,12.43,3
389,25,34633,Toothpaste,7,8.23,60,66,60,7,57.61,2
390,63,60353,Whitening Kit,9,7.72,90,70,90,9,69.48,3
391,33,57500,Mouthwash,4,8.83,19,77,19,4,35.32,2
392,31,52002,Mouthwash,7,0.36,76,68,76,7,2.52,0
393,29,43445,Whitening Kit,9,2.92,57,72,57,9,26.28,2
